Q18;Q19;Q20;Q21;Q22;Q23;Q24;Q25;Q26;Q27;Q28;Q29;Q30;Q31;NATION
6;4;8;5;2;2;6;5;9;1;1;3;2;1;Greece
5;1;5;8;2;7;1;9;9;1;1;5;9;2;Greece
5;1;5;9;5;1;5;5;9;1;1;5;5;9;Greece
2;5;5;3;7;5;7;7;9;1;3;7;9;7;Greece
5;1;2;3;8;8;9;9;6;1;1;9;9;1;Greece
7;2;7;7;2;1;2;3;6;1;1;7;7;1;Greece
2;3;8;5;1;4;2;5;9;1;3;5;9;1;Greece
4;5;4;2;6;5;4;6;8;7;1;7;8;2;Greece
5;3;3;6;1;2;5;6;9;5;2;9;8;2;Greece
6;3;5;8;3;4;2;2;7;3;3;6;8;1;Greece
5;4;3;3;1;7;2;1;8;3;1;5;8;1;Greece
1;7;1;5;5;2;4;2;1;1;1;4;4;2;Greece
5;6;5;3;3;3;2;7;1;4;4;9;9;1;Greece
1;5;1;3;1;9;1;1;9;9;5;9;9;9;Greece
4;5;3;2;6;5;2;1;9;3;3;5;3;2;Greece
6;2;5;4;1;1;3;2;4;2;1;6;3;2;Greece
7;2;6;5;1;2;2;2;4;1;1;5;3;7;Greece
5;4;2;3;1;1;6;5;8;1;1;7;7;3;Greece
3;3;3;5;4;2;6;8;9;1;1;3;1;4;Greece
2;5;3;4;7;2;1;4;6;2;1;6;9;7;Greece
7;2;7;6;2;3;4;5;9;1;1;3;6;3;Greece
8;2;8;8;2;1;1;1;8;1;1;2;3;2;Greece
7;2;7;7;2;3;5;5;9;2;1;4;4;2;Greece
5;4;5;6;4;4;6;5;8;1;1;7;7;1;Greece
4;1;6;4;4;5;7;1;8;4;3;8;9;1;Greece
7;3;5;5;2;3;4;4;8;1;1;5;8;6;Greece
7;3;8;8;2;3;5;6;7;3;3;5;2;1;Greece
5;5;5;5;5;6;6;8;8;3;3;3;6;8;Greece
8;2;9;7;1;3;5;5;7;3;3;6;6;3;Greece
4;5;5;6;4;6;7;6;8;3;2;8;9;1;Greece
5;9;9;7;1;9;6;7;9;1;1;9;9;1;Greece
7;2;7;8;2;2;5;1;3;1;1;1;1;1;Greece
7;3;5;5;2;5;3;1;6;1;1;4;2;2;Greece
5;1;4;4;1;6;6;5;7;1;3;6;6;2;Greece
5;5;3;6;2;2;3;1;4;1;1;7;8;5;Greece
3;6;3;3;4;3;2;3;5;2;5;8;8;2;Greece
1;1;1;3;3;3;1;1;1;3;1;6;8;1;Greece
4;4;5;5;4;1;1;6;3;3;7;6;1;3;Greece
6;2;4;4;1;4;1;4;9;1;4;9;9;1;Greece
5;2;6;6;2;3;1;1;4;1;1;3;1;1;Greece
6;3;6;7;2;2;6;3;8;1;2;4;5;5;Greece
5;5;3;3;1;1;1;1;3;3;1;5;7;1;Greece
5;3;3;5;1;6;1;1;3;1;1;2;1;1;Greece
5;7;3;4;4;7;6;5;2;2;1;3;3;4;Greece
3;3;2;2;1;1;3;3;1;1;1;3;1;1;Greece
4;2;4;3;2;1;1;2;3;1;1;3;3;1;Greece
2;5;3;3;3;1;1;4;5;2;2;4;4;1;Greece
7;3;7;7;2;4;5;6;8;2;1;4;4;2;Greece
7;2;6;5;1;4;1;1;8;1;1;7;1;1;Greece
7;1;4;7;1;1;2;1;9;1;1;2;1;1;Greece
6;5;5;6;5;6;7;4;9;2;3;6;9;1;Greece
8;2;9;8;2;5;7;6;5;2;2;6;6;6;Greece
6;5;7;5;8;2;1;3;7;8;2;6;6;1;Greece
5;1;5;6;2;5;4;6;5;1;1;6;4;1;Greece
7;2;6;7;1;2;3;9;3;2;2;8;8;8;Greece
4;2;6;5;3;5;8;3;3;7;2;8;7;2;Greece
9;1;7;8;1;1;4;3;7;1;1;5;7;1;Greece
4;5;6;5;5;4;5;5;5;5;5;5;5;8;Greece
6;4;5;6;3;4;6;7;7;3;3;4;5;3;Greece
5;5;3;4;5;3;2;2;7;6;4;8;9;2;Greece
5;5;2;5;1;5;6;5;1;1;1;2;4;3;Greece
1;1;1;1;7;2;1;3;1;1;5;5;5;3;Greece
6;6;4;6;5;2;6;7;7;1;1;4;7;1;Greece
5;4;4;5;2;4;1;3;5;1;1;4;3;2;Greece
7;1;8;8;1;1;5;8;9;1;1;3;3;2;Greece
4;2;5;4;3;1;1;1;6;2;1;3;2;4;Greece
7;2;7;5;1;2;6;3;9;2;2;3;1;1;Greece
6;5;6;8;1;2;2;5;2;1;1;5;8;1;Greece
1;9;1;1;9;5;1;1;1;1;1;9;9;1;Greece
5;1;9;5;1;1;1;9;9;1;1;1;1;1;Greece
4;8;3;5;8;8;5;1;9;8;2;8;9;8;Greece
4;6;5;3;7;8;1;9;9;2;1;3;2;3;Greece
7;5;7;5;1;2;4;3;8;1;1;7;7;4;Greece
7;2;9;9;2;3;5;1;9;3;3;5;5;5;Greece
6;4;5;6;5;6;4;1;8;2;1;6;7;1;Greece
